UserName,D0_total_time,D0_num_games,D0_num_sessions,D0_num_genres,D0_most_played_genre,D0_most_played_game,D0_first_activity_hour,D0_last_activity_hour,D1,D2,D3,D6
Chappli,37.81666667,0,6,6,0,0,16,16,1,0,1,1
Charit,162.9833333,15,10,9,9,22,9,9,1,0,0,1
Charu,46.18333333,1,0,1,0,15,13,13,0,1,1,0
Charvi,29.33333333,3,1,8,3,8,9,9,1,0,0,1
Chauhan,37.93333333,11,5,4,0,7,0,0,1,0,0,1
Chavi,45.01666667,1,2,0,0,38,20,20,0,1,1,0
Cheeko,53.98333333,15,5,8,15,0,18,18,1,0,1,1
Cheen092017,115.0666667,5,10,9,5,15,7,7,1,0,0,1
Cheesbro62,34.35,3,0,6,1,10,17,17,1,0,1,1
Cheh8gdjhdfyh,58.71666667,1,10,5,1,55,12,12,1,1,1,0
Chehak,77.6,13,10,9,8,8,12,12,1,0,0,1
Cherry,30.65,1,1,9,0,9,23,23,1,0,1,1
Cheshtha,48.58333333,14,9,9,3,4,11,11,1,0,0,1
Chetu,54.56666667,10,10,7,10,2,20,20,1,1,1,1
Chharvi,82.98333333,7,8,9,1,7,8,8,1,0,0,1
Chhavi,32.16666667,1,2,0,0,25,19,19,0,1,1,0
Chhavi767,27.7,6,3,7,6,4,15,15,1,0,1,1
Chhiku,31,7,2,1,4,5,23,23,0,1,1,0
Chica,43.93333333,14,0,9,7,5,8,8,1,0,0,1
Chicken,28.71666667,8,1,4,8,5,14,14,1,1,1,0
Chickoo,77.78333333,15,4,9,2,7,17,17,1,0,0,1
ChikiChiku,43.1,0,1,9,0,0,12,12,1,0,0,1
Chikki,31.66666667,5,2,2,5,6,17,17,0,1,1,0
Chikoo,33.86666667,0,5,9,0,0,10,10,1,0,0,1
Chiku,34.58333333,3,4,1,3,2,19,19,0,1,1,0
Chikulori,31.71666667,2,5,2,0,15,11,11,1,1,1,0
Chikz,51.66666667,10,2,2,10,11,14,14,0,1,0,0
Children,116.85,15,6,4,15,21,21,21,0,1,1,0
Chinkal,32.43333333,7,3,0,0,7,17,17,0,1,1,0
Chinmay,69.71666667,1,10,2,1,68,12,12,1,1,1,0
Chinmayboss,28.96666667,1,1,7,1,12,23,23,0,0,1,1
Chiranjeev,30.01666667,3,0,0,0,8,19,19,0,1,1,0
Chitra,212,15,10,9,10,27,22,22,1,0,1,1
Chiya,29.95,0,0,1,0,0,16,16,0,1,1,0
Choclate0090,53.63333333,3,1,0,0,12,23,23,0,1,1,0
Choco,31.21666667,9,1,1,9,4,17,17,0,1,1,0
Chocolatyqueen,38.31666667,7,4,2,7,8,19,19,0,1,1,0
Chocouni,50.85,7,6,7,6,0,10,10,1,0,0,1
Chonuuuu,120.3166667,15,4,9,9,2,19,19,1,0,0,1
Chot,36.06666667,0,2,1,0,0,9,9,1,1,0,0
Chotudon,28.96666667,2,1,3,2,6,12,12,1,1,1,0
Christine,50.28333333,11,0,9,11,3,18,18,1,0,1,1
Chronos2098,64.35,0,7,1,0,0,19,19,1,1,1,0
ChubbyPanda,41.55,5,1,0,0,0,21,21,0,1,1,0
Chukul,30.48333333,0,0,6,0,0,13,13,1,0,1,1
Chunmay,35.75,5,1,2,5,8,20,20,0,1,1,0
Classnk,28.93333333,4,1,1,4,2,0,0,1,1,0,0
Cloudyymoon,27.16666667,7,1,6,1,0,8,8,1,0,0,1
CobraAdonisss,30.13333333,3,1,3,3,0,14,14,1,1,1,0
Cockee,64.31666667,15,6,8,13,6,21,21,1,0,1,1
Coco,37.26666667,2,0,7,2,9,20,20,0,0,1,1
CocoJunnu,34.5,4,6,1,4,5,18,18,0,1,1,0
Cocomelon,29.98333333,2,1,0,0,15,11,11,1,1,1,0
Cocomi,40.85,10,7,3,10,4,16,16,1,1,1,0
Coffee,28.53333333,1,1,6,0,4,21,21,0,0,1,1
Cookie,33.71666667,9,2,7,2,11,21,21,0,0,1,1
Cool,28.4,5,0,1,5,9,22,22,0,1,1,0
Coolvivan,38.55,5,6,9,5,10,15,15,1,0,1,1
Cr7good,27.45,6,1,4,6,6,7,7,1,0,0,0
Cr7suiii,32.78333333,7,5,3,7,7,19,19,0,1,1,0
CrazyBoy,56.45,7,2,2,7,5,17,17,0,1,1,0
Crazygamer,170.45,15,7,9,15,17,18,18,1,0,0,1
Crazyruh,65.63333333,9,10,4,9,12,16,16,1,1,1,0
Creativecan,54.41666667,14,6,9,14,17,12,12,1,0,0,1
Crimeminded,63.63333333,12,1,9,3,7,15,15,1,0,0,1
Cristionaaao,38.8,12,0,9,9,2,17,17,1,0,0,1
Crusher,27.38333333,5,3,0,0,4,16,16,0,1,1,0
Crystal,296.85,15,10,9,15,19,15,15,1,0,0,0
Crystalpro,71.48333333,3,2,9,3,13,22,22,1,0,1,1
Ctg,31.8,7,3,5,2,10,16,16,1,1,1,1
Cute,104.65,3,10,9,0,22,13,13,1,0,0,1
Cute111250,37.93333333,0,0,6,0,0,21,21,0,0,1,0
CuteCampy,27.03333333,3,2,7,3,2,22,22,0,0,1,1
Cuteitu,36.73333333,7,3,9,0,2,15,15,1,0,0,1
Cuteyana,29.03333333,5,3,3,5,8,14,14,1,1,1,0
Cutie,55.75,5,9,9,5,1,15,15,1,0,1,1
Cutie123girl,36.01666667,8,1,7,8,3,17,17,1,0,1,1
Cutie124,76.85,1,9,9,1,0,13,13,1,0,1,1
CutiePi,52.2,6,5,9,4,3,18,18,1,0,1,1
Cutiegurl,36.93333333,0,7,4,0,0,16,16,1,1,1,0
Cutiepie,28.68333333,5,1,0,0,1,21,21,0,1,1,0
Cutipaylovi,27.11666667,6,3,5,4,5,22,22,0,1,1,1
DAARIS,35.75,2,5,7,2,19,16,16,1,0,1,1
DAKSH,31.28333333,6,1,0,0,1,7,7,1,1,0,0
DAKSHMishra,32.56666667,5,1,4,5,3,13,13,1,1,1,0
DANISH,41.35,5,4,9,4,3,9,9,1,0,0,1
DARSHGUPTA,51.9,5,3,2,5,4,22,22,0,1,1,0
DEVANSH5944T,27.58333333,1,2,3,1,0,13,13,1,1,1,0
DEVGod,133.35,1,4,9,1,127,14,14,1,0,0,1
DEVILBOY0007,39.43333333,6,4,6,2,1,11,11,1,0,0,1
DEvaBHai,30.55,1,3,8,1,13,11,11,1,0,0,1
DHONI7,49.25,2,9,9,2,17,12,12,1,0,0,1
DHarvik,32.7,1,2,0,0,24,21,21,0,1,1,0
DIANSH,140.25,2,5,9,0,22,9,9,1,0,0,1
DIMPAL,44.01666667,8,0,4,8,1,16,16,0,1,1,0
DIVJAS,29,1,3,4,1,27,21,21,0,1,1,0
